WE(1).Potential (V),Time (s),WE(1).Current (A)
-0.000119018554687503,0.376853999048535,-1.46453857421875E-05
-0.000131225585937506,0.386853999023288,-1.37542724609375E-05
-0.000131225585937506,0.39685399899804,-1.31072998046875E-05
-0.0001068115234375,0.406853998972792,-1.26190185546875E-05
-0.0001220703125,0.416853998947545,-1.21795654296875E-05
-0.000119018554687503,0.426853998922297,-1.1834716796875E-05
-0.000109863281249997,0.43685399889705,-1.1505126953125E-05
-0.000134277343750003,0.446853998871802,-1.1236572265625E-05
-0.000131225585937506,0.456853998846555,-1.1016845703125E-05
-0.000131225585937506,0.466853998821307,-1.0711669921875E-05
-0.000134277343750003,0.476853998796059,-1.04400634765625E-05
-0.000119018554687503,0.486853998770812,-1.02447509765625E-05
-0.000128173828124994,0.496853998745564,-1.005859375E-05
-0.0001220703125,0.506853998720317,-9.9212646484375E-06
-0.000128173828124994,0.516853998695069,-9.716796875E-06
-0.0001373291015625,0.526853998669822,-9.6099853515625E-06
-0.000112915039062494,0.536853998644574,-9.454345703125E-06
-0.000119018554687503,0.546853998619326,-9.3170166015625E-06
-9.46044921874972E-05,0.556853998594079,-9.2071533203125E-06
-0.0001220703125,0.566853998568831,-9.0606689453125E-06
-0.0001220703125,0.576853998543584,-8.966064453125E-06
-0.000119018554687503,0.586853998518336,-8.856201171875E-06
-0.000112915039062494,0.596853998493089,-8.734130859375E-06
-0.000140380859374997,0.606853998467841,-8.6669921875E-06
-0.000112915039062494,0.616853998442593,-8.526611328125E-06
-0.0001373291015625,0.626853998417346,-8.4747314453125E-06
-0.000115966796875006,0.636853998392098,-8.380126953125E-06
-0.000131225585937506,0.646853998366851,-8.2794189453125E-06
-0.000143432617187494,0.656853998341603,-8.2275390625E-06
-0.0001068115234375,0.666853998316356,-8.111572265625E-06
-0.000143432617187494,0.676853998291108,-8.0718994140625E-06
-0.000100708007812506,0.68685399826586,-7.97119140625E-06
-0.000119018554687503,0.696853998240613,-7.8887939453125E-06
-0.000131225585937506,0.706853998215365,-7.8521728515625E-06
-0.000109863281249997,0.716853998190118,-7.75146484375E-06
-0.000109863281249997,0.72685399816487,-7.7056884765625E-06
-0.000128173828124994,0.736853998139622,-7.6416015625E-06
-0.000119018554687503,0.746853998114375,-7.5592041015625E-06
-0.0001068115234375,0.756853998089127,-7.525634765625E-06
-0.0001220703125,0.76685399806388,-7.4371337890625E-06
-0.000140380859374997,0.776853998038632,-7.4066162109375E-06
-0.0001373291015625,0.786853998013385,-7.33642578125E-06
-0.0001373291015625,0.796853997988137,-7.2723388671875E-06
-0.000146484375000006,0.806853997962889,-7.257080078125E-06
-0.0001373291015625,0.816853997937642,-7.1563720703125E-06
-0.0001373291015625,0.826853997912394,-7.1319580078125E-06
-0.000131225585937506,0.836853997887147,-7.0831298828125E-06
-0.000125122070312497,0.846853997861899,-7.0159912109375E-06
-0.000103759765625003,0.856853997836652,-6.9854736328125E-06
-0.000131225585937506,0.866853997811404,-6.9244384765625E-06
-0.000125122070312497,0.876853997786156,-6.89697265625E-06
-0.0001220703125,0.886853997760909,-6.84814453125E-06
-0.000131225585937506,0.896853997735661,-6.781005859375E-06
-0.000115966796875006,0.906853997710414,-6.756591796875E-06
-0.000131225585937506,0.916853997685166,-6.6986083984375E-06
-0.0001068115234375,0.926853997659919,-6.67724609375E-06
-0.000103759765625003,0.936853997634671,-6.634521484375E-06
-0.000119018554687503,0.946853997609423,-6.5948486328125E-06
-0.000109863281249997,0.956853997584176,-6.561279296875E-06
-0.000115966796875006,0.966853997558928,-6.4971923828125E-06
-0.000134277343750003,0.976853997533681,-6.488037109375E-06
-0.000128173828124994,0.986853997508433,-6.4483642578125E-06
-0.000140380859374997,0.996853997483186,-6.390380859375E-06
-0.000146484375000006,1.00685399745794,-6.38427734375E-06
-0.000109863281249997,1.01685399743269,-6.317138671875E-06
-0.000134277343750003,1.02685399740744,-6.3018798828125E-06
-9.46044921874972E-05,1.0368539973822,-6.268310546875E-06
-0.000115966796875006,1.04685399735695,-6.2347412109375E-06
-0.000128173828124994,1.0568539973317,-6.21337890625E-06
-0.000115966796875006,1.06685399730645,-6.1492919921875E-06
-0.000103759765625003,1.07685399728121,-6.14013671875E-06
-0.000109863281249997,1.08685399725596,-6.1065673828125E-06
-0.000100708007812506,1.09685399723071,-6.072998046875E-06
