Potential applied (V),WE(1).Current (A),WE(1).Potential (V)
0.001983642578125,6.075439453125E-06,0.00196228027343751
0.00396728515625,1.04766845703125E-05,0.00390014648437501
0.005950927734375,1.419677734375E-05,0.00592956542968751
0.0079345703125,1.74713134765625E-05,0.0078765869140625
0.009918212890625,2.03948974609375E-05,0.00987548828125
0.01190185546875,2.30712890625E-05,0.01185302734375
0.013885498046875,2.55584716796875E-05,0.0138458251953125
0.015869140625,2.7899169921875E-05,0.015826416015625
0.017852783203125,3.00506591796875E-05,0.017822265625
0.01983642578125,3.20831298828125E-05,0.019818115234375
0.021820068359375,3.4039306640625E-05,0.0217987060546875
0.0238037109375,3.5870361328125E-05,0.023785400390625
0.025787353515625,3.76190185546875E-05,0.0257598876953125
0.02777099609375,3.92852783203125E-05,0.0277374267578125
0.029754638671875,4.08477783203125E-05,0.0297119140625
0.03173828125,4.23614501953125E-05,0.031719970703125
0.033721923828125,4.37957763671875E-05,0.033697509765625
0.03570556640625,4.5135498046875E-05,0.035687255859375
0.037689208984375,4.6441650390625E-05,0.0376617431640625
0.0396728515625,4.76531982421875E-05,0.0396728515625
0.041656494140625,4.87823486328125E-05,0.0416290283203125
0.04364013671875,4.989013671875E-05,0.0436187744140625
0.045623779296875,5.09674072265625E-05,0.0455963134765625
0.047607421875,5.1934814453125E-05,0.047601318359375
0.049591064453125,5.29022216796875E-05,0.04986572265625
0.05157470703125,5.37811279296875E-05,0.051910400390625
0.053558349609375,5.4608154296875E-05,0.05389404296875
0.0555419921875,5.5426025390625E-05,0.055938720703125
0.057525634765625,5.6158447265625E-05,0.057861328125
0.05950927734375,5.68511962890625E-05,0.05987548828125
0.061492919921875,5.74798583984375E-05,0.061920166015625
0.0634765625,5.8087158203125E-05,0.0638427734375
0.065460205078125,5.8642578125E-05,0.065887451171875
0.06744384765625,5.91522216796875E-05,0.06781005859375
0.069427490234375,5.960693359375E-05,0.06982421875
0.0714111328125,6.00311279296875E-05,0.07177734375
0.073394775390625,6.0394287109375E-05,0.073486328125
0.07537841796875,6.072998046875E-05,0.075347900390625
0.077362060546875,6.103515625E-05,0.077392578125
0.079345703125,6.134033203125E-05,0.079376220703125
0.081329345703125,6.1553955078125E-05,0.081390380859375
0.08331298828125,6.1767578125E-05,0.083343505859375
0.085296630859375,6.195068359375E-05,0.085357666015625
0.0872802734375,6.207275390625E-05,0.087310791015625
0.089263916015625,6.2225341796875E-05,0.089202880859375
0.09124755859375,6.231689453125E-05,0.09130859375
0.093231201171875,6.2347412109375E-05,0.093292236328125
0.09521484375,6.2408447265625E-05,0.09527587890625
0.097198486328125,6.243896484375E-05,0.0972900390625
0.09918212890625,6.243896484375E-05,0.0992431640625
0.101165771484375,6.2408447265625E-05,0.1011962890625
0.1031494140625,6.2347412109375E-05,0.103179931640625
0.105133056640625,6.2286376953125E-05,0.105194091796875
0.10711669921875,6.219482421875E-05,0.107177734375
0.109100341796875,6.207275390625E-05,0.109130859375
0.111083984375,6.195068359375E-05,0.11114501953125
0.113067626953125,6.1798095703125E-05,0.113128662109375
0.11505126953125,6.16455078125E-05,0.115081787109375
0.117034912109375,6.1492919921875E-05,0.1170654296875
0.1190185546875,6.1309814453125E-05,0.119110107421875
0.121002197265625,6.1065673828125E-05,0.12103271484375
0.12298583984375,6.0882568359375E-05,0.123016357421875
0.124969482421875,6.06689453125E-05,0.125
0.126953125,6.04248046875E-05,0.12701416015625
0.128936767578125,6.01806640625E-05,0.129058837890625
0.13092041015625,5.9967041015625E-05,0.130950927734375
0.132904052734375,5.96923828125E-05,0.133026123046875
0.1348876953125,5.94482421875E-05,0.134979248046875
0.136871337890625,5.9173583984375E-05,0.136993408203125
0.13885498046875,5.889892578125E-05,0.138946533203125
0.140838623046875,5.8624267578125E-05,0.14093017578125
0.142822265625,5.8349609375E-05,0.1429443359375
0.144805908203125,5.8074951171875E-05,0.144927978515625
0.14678955078125,5.7769775390625E-05,0.146942138671875
0.148773193359375,5.74951171875E-05,0.14886474609375
0.1507568359375,5.7159423828125E-05,0.15087890625
0.152740478515625,5.6854248046875E-05,0.15277099609375
0.15472412109375,5.657958984375E-05,0.15478515625
0.156707763671875,5.62744140625E-05,0.15679931640625
0.15869140625,5.5938720703125E-05,0.158782958984375
0.160675048828125,5.56640625E-05,0.160675048828125
0.16265869140625,5.535888671875E-05,0.162750244140625
0.164642333984375,5.50537109375E-05,0.164825439453125
0.1666259765625,5.4779052734375E-05,0.166656494140625
0.168609619140625,5.4473876953125E-05,0.168701171875
0.17059326171875,5.419921875E-05,0.170684814453125
0.172576904296875,5.3863525390625E-05,0.172576904296875
0.174560546875,5.35888671875E-05,0.1746826171875
0.176544189453125,5.328369140625E-05,0.176666259765625
0.17852783203125,5.2978515625E-05,0.178619384765625
0.180511474609375,5.2703857421875E-05,0.1806640625
0.1824951171875,5.2398681640625E-05,0.1826171875
0.184478759765625,5.21240234375E-05,0.184600830078125
0.18646240234375,5.1849365234375E-05,0.1865234375
0.188446044921875,5.157470703125E-05,0.18853759765625
0.1904296875,5.1300048828125E-05,0.190582275390625
0.192413330078125,5.1025390625E-05,0.192535400390625
0.19439697265625,5.0750732421875E-05,0.194488525390625
0.196380615234375,5.0506591796875E-05,0.196441650390625
0.1983642578125,5.023193359375E-05,0.19854736328125
0.200347900390625,4.9957275390625E-05,0.200531005859375
0.20233154296875,4.9713134765625E-05,0.202484130859375
0.204315185546875,4.9468994140625E-05,0.2044677734375
0.206298828125,4.9224853515625E-05,0.2064208984375
0.208282470703125,4.90386962890625E-05,0.208404541015625
0.21026611328125,4.87945556640625E-05,0.210784912109375
0.212249755859375,4.85595703125E-05,0.212677001953125
0.2142333984375,4.83306884765625E-05,0.2147216796875
0.216217041015625,4.81048583984375E-05,0.216705322265625
0.21820068359375,4.78759765625E-05,0.218658447265625
0.220184326171875,4.76593017578125E-05,0.220703125
0.22216796875,4.74365234375E-05,0.222625732421875
0.224151611328125,4.7235107421875E-05,0.224639892578125
0.22613525390625,4.7015380859375E-05,0.226593017578125
0.228118896484375,4.68170166015625E-05,0.228607177734375
0.2301025390625,4.66094970703125E-05,0.230560302734375
0.232086181640625,4.64202880859375E-05,0.2325439453125
0.23406982421875,4.62249755859375E-05,0.23455810546875
0.236053466796875,4.60418701171875E-05,0.23651123046875
0.238037109375,4.5849609375E-05,0.23846435546875
0.240020751953125,4.5672607421875E-05,0.240509033203125
0.24200439453125,4.5489501953125E-05,0.242523193359375
0.243988037109375,4.53216552734375E-05,0.24444580078125
0.2459716796875,4.51446533203125E-05,0.246429443359375
0.247955322265625,4.49798583984375E-05,0.24847412109375
0.24993896484375,4.48150634765625E-05,0.250335693359375
0.251922607421875,4.4659423828125E-05,0.25244140625
0.25390625,4.4500732421875E-05,0.254364013671875
0.255889892578125,4.43450927734375E-05,0.25634765625
0.25787353515625,4.4195556640625E-05,0.25836181640625
0.259857177734375,4.4049072265625E-05,0.26031494140625
0.2618408203125,4.39056396484375E-05,0.262359619140625
0.263824462890625,4.37591552734375E-05,0.26434326171875
0.26580810546875,4.3634033203125E-05,0.2662353515625
0.267791748046875,4.349365234375E-05,0.268310546875
0.269775390625,4.3359375E-05,0.270233154296875
0.271759033203125,4.32281494140625E-05,0.272247314453125
0.27374267578125,4.31121826171875E-05,0.274200439453125
0.275726318359375,4.29779052734375E-05,0.27630615234375
0.2777099609375,4.2864990234375E-05,0.278167724609375
0.279693603515625,4.2742919921875E-05,0.280181884765625
0.28167724609375,4.2633056640625E-05,0.28216552734375
0.283660888671875,4.25140380859375E-05,0.284149169921875
0.28564453125,4.24102783203125E-05,0.286102294921875
0.287628173828125,4.22943115234375E-05,0.288116455078125
0.28961181640625,4.2193603515625E-05,0.290130615234375
0.291595458984375,4.20867919921875E-05,0.29205322265625
0.2935791015625,4.19891357421875E-05,0.29412841796875
